beruf,titel,refnr,arbeitgeber,aktuelleVeroeffentlichungsdatum,modifikationsTimestamp,eintrittsdatum,externeUrl,arbeitsort.plz,arbeitsort.ort,arbeitsort.strasse,arbeitsort.region,arbeitsort.land,arbeitsort.koordinaten.lat,arbeitsort.koordinaten.lon,kundennummerHash
Tiefbauingenieur/in,Planer Oberbau Instandhaltung (alle Geschlechter),19274-OKUO9074K7Q22S3S-S,men-in-motion GmbH,2026-03-01,2026-03-01T09:28:48.995,2026-03-01,,24103,Kiel,null,Schleswig-Holstein,Deutschland,54.32309168,10.131796673,qkwsoZKUsMMzroHja5dEqyofGQlQ9dLjVCdzKe30QAU=
Metallbauer/in - Konstruktionstechnik,Metallbauer / Tischler (m/w/d),17007-HLLCEU4W3PSH5UTJ-S,kdw HR GmbH & Co. KG,2026-03-01,2026-03-01T09:27:04.201,2026-03-01,,23556,Lübeck,null,Schleswig-Holstein,Deutschland,53.872506576,10.624659818,ka-s3Vby43yhhywCVsbvjKQCBCvJdzFr6Wmhtkux0iQ=
Metallbauer/in - Konstruktionstechnik,Metallbauer (m/w/d),17007-JZGB83TEOVK7LY5A-S,kdw HR GmbH & Co. KG,2026-03-01,2026-03-01T09:27:04.116,2026-03-01,,24568,"Kaltenkirchen, Holstein",null,Schleswig-Holstein,Deutschland,53.829015502,9.93880704,ka-s3Vby43yhhywCVsbvjKQCBCvJdzFr6Wmhtkux0iQ=
Industriemechaniker/in,Monteur (m/w/d),17007-PXQM5ESRTVKMFHM7-S,kdw HR GmbH & Co. KG,2026-03-01,2026-03-01T09:27:03.903,2026-03-01,,23558,Lübeck,null,Schleswig-Holstein,Deutschland,53.857048075,10.657861957,ka-s3Vby43yhhywCVsbvjKQCBCvJdzFr6Wmhtkux0iQ=
Elektroniker/in - Betriebstechnik,Elektroniker (m/w/d) für Schaltschrankbau,17007-ILX2LB4MFV6214VE-S,kdw HR GmbH & Co. KG,2026-03-01,2026-03-01T09:27:03.797,2026-03-01,,24568,"Kaltenkirchen, Holstein",null,Schleswig-Holstein,Deutschland,53.829015502,9.93880704,ka-s3Vby43yhhywCVsbvjKQCBCvJdzFr6Wmhtkux0iQ=
Anlagenmechaniker/in,Anlagenmechaniker (m/w/d) SHK in Hamburg & Lübeck,17007-E8EULTQAXJEHWYO3-S,kdw HR GmbH & Co. KG,2026-03-01,2026-03-01T09:25:17.317,2026-03-01,,23556,Lübeck,null,Schleswig-Holstein,Deutschland,53.872506576,10.624659818,ka-s3Vby43yhhywCVsbvjKQCBCvJdzFr6Wmhtkux0iQ=
Servicefahrer/in,Servicefahrer m/w/d unbefristet + Netto-Spesen + Prämien,18024-100YY0001DR01-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:38.155,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4677&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Gesundheits- und Krankenpfleger/in,"D- Pflegefachkraft m/w/d, freundliches Team + Top Vergütung",18024-100YY0001DF07-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:38.047,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4665&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Servicefahrer/in,"K: Verkäufer im Lebensmittelbereich  (m/w/d) Außendienst, Vollzeit, ab sofort",18024-100YY0001D30C-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.982,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4653&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Gesundheits- und Krankenpfleger/in,Pflegekraft ambulant in Hamburg m/w/d ab sofort gesucht,18024-100YY0001Cv0C-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.93,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4645&source=ba,,Ahrensburg,null,Schleswig-Holstein,Deutschland,53.6712518,10.2350504,
Gesundheits- und Krankenpfleger/in,Pflegefachkraft ambulant m/w/d ab sofort gesucht,18024-100YY0001Cr0C-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.863,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4641&source=ba,,Ahrensburg,null,Schleswig-Holstein,Deutschland,53.6712518,10.2350504,
Gesundheits- und Krankenpfleger/in,Pflegefachkraft stationär m/w/d ab sofort gesucht,18024-100YY0001Cn0C-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.797,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4637&source=ba,,Bad Oldesloe,null,Schleswig-Holstein,Deutschland,53.8143037,10.3731984,
Servicefahrer/in,"S: Verkäufer (m/w/d), ab sofort, Direktanstellung + top Verdienst",18024-100YY0001Cj0E-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.733,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4633&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) für ambulanten Pflegedienst in Kiel,18024-100YY0001CX0E-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.667,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4621&source=ba,,"Neumünster, Holstein",null,Schleswig-Holstein,Deutschland,54.0799902,9.9839564,
Gesundheits- und Krankenpfleger/in,S: Pflegefachkraft für betreutes Wohnen (m/w/d)  in HH Farmsen,18024-100YY0001CT0E-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.603,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4617&source=ba,22885,Barsbüttel,null,Schleswig-Holstein,Deutschland,53.5694885,10.1976089,
Altenpflegehelfer/in,S: Pflegehilfskraft  im ambulanten Pflegedienst (m/w/d) in Lübeck gesucht,18024-100YY0001CP0E-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.514,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4613&source=ba,23879,"Mölln, Kreis Herzogtum Lauenburg",null,Schleswig-Holstein,Deutschland,53.615,10.7086,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) für unseren Standort in Lübeck,18024-100YY0001CL0E-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.44,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4609&source=ba,,Lübeck,null,Schleswig-Holstein,Deutschland,53.8846031,10.7174408,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) im ambulanten Pflegedienst für unseren Standort in Lübeck,18024-100YY0001CH0E-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.373,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4605&source=ba,23879,"Mölln, Kreis Herzogtum Lauenburg",null,Schleswig-Holstein,Deutschland,53.615,10.7086,
Gesundheits- und Krankenpfleger/in,"D- Pflegefachkraft ambulant, wertschätzende Arbeit + Top Vergütung",18024-100YY0001CD0G-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.315,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4601&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Gesundheits- und Krankenpfleger/in,S: Pflegefachkraft (m/w/d)  HH Farmsen,18024-100YY0001C60K-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.262,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4594&source=ba,22885,Barsbüttel,null,Schleswig-Holstein,Deutschland,53.5694885,10.1976089,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) für ambulanten Pflegedienst in Kiel,18024-100YY0001C20K-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.192,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4590&source=ba,,Kiel,null,Schleswig-Holstein,Deutschland,54.3315224,10.1391057,
Servicefahrer/in,"K: Verkäufer im Lebensmittelbereich  (m/w/d) Außendienst, Vollzeit, ab sofort",18024-100YY0001Bj0L-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.128,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4571&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Gesundheits- und Krankenpfleger/in,Pflegekraft ambulant in Hamburg m/w/d ab sofort gesucht,18024-100YY0001Bb0L-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.076,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4563&source=ba,22885,Barsbüttel,null,Schleswig-Holstein,Deutschland,53.5694885,10.1976089,
Gesundheits- und Krankenpfleger/in,Pflegefachkraft ambulant m/w/d ab sofort gesucht,18024-100YY0001BX0L-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:37.007,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4559&source=ba,,Kiel,null,Schleswig-Holstein,Deutschland,54.3315224,10.1391057,
Gesundheits- und Krankenpfleger/in,Pflegefachkraft stationär m/w/d ab sofort gesucht,18024-100YY0001BT0L-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.885,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4555&source=ba,,Bad Oldesloe,null,Schleswig-Holstein,Deutschland,53.8143037,10.3731984,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) für ambulanten Pflegedienst in Kiel,18024-100YY0001Ao0V-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.821,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4514&source=ba,24340,Eckernförde,null,Schleswig-Holstein,Deutschland,54.4700248,9.8327684,
Gesundheits- und Krankenpfleger/in,S: Pflegefachkraft (m/w/d)  HH Farmsen,18024-100YY0001AY0V-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.761,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4498&source=ba,22885,Barsbüttel,null,Schleswig-Holstein,Deutschland,53.5694885,10.1976089,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) für unseren Standort in Lübeck,18024-100YY0001AU0V-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.699,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4494&source=ba,,Lübeck,null,Schleswig-Holstein,Deutschland,53.8846031,10.7174408,
Altenpflegehelfer/in,S: Pflegehilfskraft (m/w/d) in Lübeck gesucht,18024-100YY0001AQ0V-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.621,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4490&source=ba,22145,"Stapelfeld, Bz Hamburg",null,Schleswig-Holstein,Deutschland,53.6063523,10.2133651,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) für ambulanten Pflegedienst in Kiel,18024-100YY00019u0g-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.55,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4458&source=ba,24582,Bordesholm,null,Schleswig-Holstein,Deutschland,54.1710065,10.0264414,
Gesundheits- und Krankenpfleger/in,S: Pflegefachkraft (m/w/d)  HH Farmsen,18024-100YY00019q0g-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.485,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4454&source=ba,22885,Barsbüttel,null,Schleswig-Holstein,Deutschland,53.5694885,10.1976089,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) für unseren Standort in Lübeck,18024-100YY00019m0g-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.418,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4450&source=ba,24340,Eckernförde,null,Schleswig-Holstein,Deutschland,54.4700248,9.8327684,
Altenpflegehelfer/in,S: Pflegehilfskraft (m/w/d) in Lübeck gesucht,18024-100YY00019i0g-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.334,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4446&source=ba,22145,"Stapelfeld, Bz Hamburg",null,Schleswig-Holstein,Deutschland,53.6063523,10.2133651,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) für ambulanten Pflegedienst in Kiel,18024-100YY0001910j-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.265,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4403&source=ba,,"Neumünster, Holstein",null,Schleswig-Holstein,Deutschland,54.0799902,9.9839564,
Altenpflegehelfer/in,S: Pflegehilfskraft (m/w/d) für Lübeck gesucht –  sichere Anstellung in einem starken Team,18024-100YY00018t0j-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.183,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4395&source=ba,,Bad Oldesloe,null,Schleswig-Holstein,Deutschland,53.8143037,10.3731984,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) für unseren Standort in Lübeck,18024-100YY00018l0j-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.113,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4387&source=ba,24582,Bordesholm,null,Schleswig-Holstein,Deutschland,54.1710065,10.0264414,
Altenpflegehelfer/in,D- Pflegehilfskraft m/w/d in Lübeck -  Top Konditionen,18024-100YY00018J0j-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:36.057,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4359&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Gesundheits- und Krankenpfleger/in,"D- Pflegefachkraft ambulant, wertschätzende Arbeit + Top Vergütung",18024-100YY00018F0j-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:35.996,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4355&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Krankenschwester/-pfleger,"S: Pflegefachkraft (m/w/d) in Lübeck - werde Teil eines Teams, das Menschen zuhause stärkt",18024-100YY00017z0o-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:35.931,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4339&source=ba,24340,Eckernförde,null,Schleswig-Holstein,Deutschland,54.4700248,9.8327684,
Altenpflegehelfer/in,S: Pflegehilfskraft (m/w/d) für Lübeck gesucht –  sichere Anstellung in einem starken Team,18024-100YY00017G0w-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:35.851,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4294&source=ba,22145,"Stapelfeld, Bz Hamburg",null,Schleswig-Holstein,Deutschland,53.6063523,10.2133651,
Krankenschwester/-pfleger,"S: Pflegefachkraft (m/w/d) in Kiel - werde Teil eines Teams, das Menschen zuhause stärkt",18024-100YY0001780w-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:35.77,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4286&source=ba,,"Neumünster, Holstein",null,Schleswig-Holstein,Deutschland,54.0799902,9.9839564,
Altenpflegehelfer/in,D- Pflegehilfskraft m/w/d in Lübeck -  Top Konditionen,18024-100YY00016V17-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:35.712,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4247&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Gesundheits- und Krankenpfleger/in,"D- Pflegefachkraft ambulant, wertschätzende Arbeit + Top Vergütung",18024-100YY00016R17-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:35.649,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4243&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Gesundheits- und Krankenpfleger/in,"D- Pflegefachkraft ambulant, wertschätzende Arbeit + Top Vergütung",18024-100YY00016N16-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:21:35.583,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4239&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Zerspanungsmechaniker/in,Zerspanungsmechaniker (m/w/d) im Maschinenbau in Oldenburg gesucht ,17724-5X8NJKUOKY3P7R8D-S,hanfried Personaldienstleistungen GmbH,2026-03-01,2026-03-01T09:14:34.996,2026-03-01,,25876,"Hude bei Husum, Nordsee",null,Schleswig-Holstein,Deutschland,54.389446749001,9.222066556,m2eHZ1Pya0BGKXKp_0GFLoiupWbmKRSbYQhZi1JjSH0=
Gesundheits- und Krankenpfleger/in,"D- Pflegefachkraft ambulant, wertschätzende Arbeit + Top Vergütung",18024-100YY00015q14-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:08:40.832,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4206&source=ba,,,null,Schleswig-Holstein,Deutschland,0.0,0.0,
Altenpflegehelfer/in,D- Pflegehilfskraft m/w/d in Lübeck -  Top Konditionen,18024-100YY00015a0w-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:08:40.76,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4190&source=ba,23879,"Mölln, Kreis Herzogtum Lauenburg",null,Schleswig-Holstein,Deutschland,53.615,10.7086,
Altenpflegehelfer/in,S: Pflegehilfskraft (m/w/d) gesucht – werden Sie Teil unseres Teams in Lübeck,18024-100YY00015K0u-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:08:40.668,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4174&source=ba,23879,"Mölln, Kreis Herzogtum Lauenburg",null,Schleswig-Holstein,Deutschland,53.615,10.7086,
Krankenschwester/-pfleger,S: Pflegefachkraft (m/w/d) für den ambulanten Dienst in Kiel – jetzt durchstarten,18024-100YY00015C0u-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:08:40.594,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4166&source=ba,,"Neumünster, Holstein",null,Schleswig-Holstein,Deutschland,54.0799902,9.9839564,
Altenpflegehelfer/in,S: Pflegehilfskraft (m/w/d) in Lübeck – Wertschätzung und Teamgeist,18024-100YY00014c0u-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:08:40.343,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4130&source=ba,23909,Ratzeburg,null,Schleswig-Holstein,Deutschland,53.6997059,10.766474,
Gesundheits- und Krankenpfleger/in,S: Pflegefachkraft (m/w/d) für betreutes Wohnen in Hamburg Farmsen gesucht,18024-100YY00014Y0t-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:08:40.244,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p4126&source=ba,22885,Barsbüttel,null,Schleswig-Holstein,Deutschland,53.5694885,10.1976089,
Krankenschwester/-pfleger,"D: Pflegefachkraft – Neuer amb. Dienst, Vergütung 4834 €, Mutti Schichten mgl",18024-100YY0000tI1h-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:08:40.166,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p3428&source=ba,24768,Rendsburg,null,Schleswig-Holstein,Deutschland,54.3024685,9.6525988,
Krankenschwester/-pfleger,"D: Pflegefachkraft – Neuer amb. Dienst, Vergütung 4834 €, Mutti Schichten mgl",18024-100YY0000s71e-S,Personaltaucher GmbH,2026-03-01,2026-03-01T09:08:40.087,2026-03-31,https://helixjobs.com/_/jobad?prj=2142p3355&source=ba,24582,Bordesholm,null,Schleswig-Holstein,Deutschland,54.1710065,10.0264414,
Koch/Köchin,Koch (m/w/d) für Kitas und Schulen in Voll/Teilzeit,18024-1002X000QCr08-S,Menüpartner B.V. & Co.KG,2026-03-01,2026-03-01T09:08:38.773,2026-04-01,https://helixjobs.com/_/jobad?prj=157p100741&source=ba,,Kiel,null,Schleswig-Holstein,Deutschland,54.3315224,10.1391057,
Betriebsleiter/in - Hotel und Gaststätten/Bachelor Professional in Hauswirtschaft,Betriebsleiter (m/w/d),18024-1002X000Pyx0e-S,Menüpartner B.V. & Co.KG,2026-03-01,2026-03-01T09:08:36.609,2026-04-01,https://helixjobs.com/_/jobad?prj=157p99879&source=ba,,Kiel,null,Schleswig-Holstein,Deutschland,54.3315224,10.1391057,
Elektroniker/in - Geräte und Systeme,Elektroniker - Geräte und Systeme (m/w/d),12704-3QZHADNER1OGDMKN-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T09:08:32.285,2026-03-01,,22880,Wedel,null,Schleswig-Holstein,Deutschland,53.590789934,9.70761554,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Elektroniker/in - Energie- und Gebäudetechnik,Elektroniker (m/w/d),12704-KGVMES1GTWWSSAH3-S,SYNERGIE Personal HR GmbH Niederlassung Pinneberg SYNERGIE,2026-03-01,2026-03-01T09:08:31.933,2026-03-01,,25548,Kellinghusen,null,Schleswig-Holstein,Deutschland,53.952280841,9.723921567,lUd7ru-MwCdQvZt8rtrBhVWKi0oDpt6RNv481w9M8BE=
Heilerziehungspfleger/in,Heilerziehungspfleger / Heilpädagoge (m/w/d) Teilzeit 30h,13339-GQS34IWME8O14R7C-S,Hanseaten Zeitarbeit Nord GmbH,2026-03-01,2026-03-01T09:08:31.814,2026-03-01,,21509,"Glinde, Kreis Stormarn",null,Schleswig-Holstein,Deutschland,53.540544649,10.217205431,vhoeGIPH6ZIJOOpNIA-rVe6oM-dtiBSs9WYOdlpT0Dk=
Ambulante/r Pfleger/in,Pflegefachkraft (m/w/d) - Qualität als hohen Stellenwert!,19844-5fb7f548451f-S,Pflegia GmbH,2026-03-01,2026-03-01T09:03:24.96,2026-03-01,,24103,Kiel,null,Schleswig-Holstein,Deutschland,54.32309168,10.131796673,vgMOdOuXLNQ3akKKCM61GD3_9lPHfCuNDS01gWGeqOE=
Pflegefachmann/-frau (Altenpflege),Pflegefachkraft (m/w/d) - Qualität als hohen Stellenwert!,19844-f035b0f885bc-S,Pflegia GmbH,2026-03-01,2026-03-01T09:03:24.445,2026-03-01,,24103,Kiel,null,Schleswig-Holstein,Deutschland,54.32309168,10.131796673,vgMOdOuXLNQ3akKKCM61GD3_9lPHfCuNDS01gWGeqOE=
Physiotherapeut/in,Physiotherapeut:in (m/w/d) - Mit Menschen für Menschen!,19844-331a23dce356-S,Pflegia GmbH,2026-03-01,2026-03-01T09:03:22.255,2026-03-01,,23883,"Lehmrade, Holstein",null,Schleswig-Holstein,Deutschland,53.594758953001,10.739522412,vgMOdOuXLNQ3akKKCM61GD3_9lPHfCuNDS01gWGeqOE=
Kaufmann/-frau - Einzelhandel,Teamleiter im Einzelhandel (m/w/d),14048-437365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:47:03.997,2026-03-01,,23569,Lübeck,null,Schleswig-Holstein,Deutschland,53.917341914,10.806048767,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Kaufmann/-frau - Einzelhandel,Teamleiter im Einzelhandel (m/w/d),14048-237365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:47:03.908,2026-03-01,,23558,Lübeck,null,Schleswig-Holstein,Deutschland,53.857048075,10.657861957,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Kaufmann/-frau - Einzelhandel,Teamleiter im Einzelhandel (m/w/d),14048-737365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:47:03.82,2026-03-01,,23611,Bad Schwartau,null,Schleswig-Holstein,Deutschland,53.921718935001,10.684016489,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Kaufmann/-frau - Einzelhandel,Teamleiter im Einzelhandel (m/w/d),14048-137365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:47:03.738,2026-03-01,,23552,Lübeck,null,Schleswig-Holstein,Deutschland,53.866130491,10.687972542,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Kaufmann/-frau - Einzelhandel,Teamleiter im Einzelhandel (m/w/d),14048-337365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:47:03.646,2026-03-01,,23556,Lübeck,null,Schleswig-Holstein,Deutschland,53.872506576,10.624659818,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Kaufmann/-frau - Einzelhandel,Teamleiter im Einzelhandel (m/w/d),14048-637365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:47:03.539,2026-03-01,,23566,Lübeck,null,Schleswig-Holstein,Deutschland,53.866861855,10.732298478,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Kaufmann/-frau - Einzelhandel,Teamleiter im Einzelhandel (m/w/d),14048-537365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:47:03.452,2026-03-01,,23617,Stockelsdorf,null,Schleswig-Holstein,Deutschland,53.926237698,10.636069125,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Techniker/in - Bautechnik (Betonbau),Technische Kauffrau / Technischer Kaufmann (m/w/d),12479-Y139ECHZ0K0GZB6J-S,Knoop Personal-Service GmbH,2026-03-01,2026-03-01T08:43:06.304,2026-03-01,,21493,Schwarzenbek,null,Schleswig-Holstein,Deutschland,53.504181103,10.489885058,klX-Lfz4IAanYfWaLysqCAcirxdBO-J2g8uyNykFuBg=
Helfer/in - Tiefbau,Produktionsmitarbeiter (m/w/d) - Betonbau,12479-LYSRQ2TTP3N66B5C-S,Knoop Personal-Service GmbH,2026-03-01,2026-03-01T08:43:06.194,2026-03-01,,21493,Schwarzenbek,null,Schleswig-Holstein,Deutschland,53.504181103,10.489885058,klX-Lfz4IAanYfWaLysqCAcirxdBO-J2g8uyNykFuBg=
Verkäufer/in,Verkäufer auf Teilzeitbasis 30 Wochenstunden (m/w/d),14048-103365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:42:58.665,2026-03-01,,23701,Eutin,null,Schleswig-Holstein,Deutschland,54.146016935,10.611727197,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Verkäufer/in,Verkäufer auf Teilzeitbasis 30 Wochenstunden (m/w/d),14048-203365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:42:58.429,2026-03-01,,23701,Eutin,null,Schleswig-Holstein,Deutschland,54.146016935,10.611727197,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Verkäufer/in,Verkäufer auf Teilzeitbasis 20 Wochenstunden (m/w/d),14048-503365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:42:58.344,2026-03-01,,23774,"Heiligenhafen, Holstein",null,Schleswig-Holstein,Deutschland,54.368545255,10.97936671,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Verkäufer/in,Verkäufer auf Teilzeitbasis 20 Wochenstunden (m/w/d),14048-982365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:42:58.232,2026-03-01,,23795,Bad Segeberg,null,Schleswig-Holstein,Deutschland,53.940959727,10.310356503,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Verkäufer/in,Verkäufer auf Teilzeitbasis 20 Wochenstunden (m/w/d),14048-092365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:42:58.117,2026-03-01,,24937,Flensburg,null,Schleswig-Holstein,Deutschland,54.786886154001,9.432385301,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
